page,block_type,character,text,explicit_tone,scene
28,DIALOGUE,RAJU,jktw,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,lwuh eSa FkksM+h nsj esa vk jgk gw¡A vjs twrsA,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,jktw,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,vjs viuk nksLr fey x;kA,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,"her eyes, without breaking her breathing",,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,pattern.,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,jktw,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,speaking.,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,jktw,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,;kj eSa vkds ckr djrk gw¡A ckW;A,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,and yells out to him.,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,RAJU,lwuh,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,SOONI,vjs iSUV rks igu ds tkvksA,,INT. RAJU’S NEW HOUSE
28,DIALOGUE,CONTINUOUS,"bottle, toothbrush, and toothpaste in hand.",,EXT. RAJU’S NEW HOUSE
28,DIALOGUE,CONTINUOUS,cab screeches to a halt in front of him,,EXT. RAJU’S NEW HOUSE
28,DIALOGUE,CONTINUOUS,and he gets in. They take off.,,EXT. RAJU’S NEW HOUSE
28,DIALOGUE,DRIVER,vc rks gksVy tk;saxs uk lj\,,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,FARHAN,vjs gksVy tk;saxs dkds] ysfdu bEihfj;y dkWyst,,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,FARHAN,vkWQ baftfu;fjax gks dsA,,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,DRIVER,vksds ljA,with resignation,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,DRIVER,them.,,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,DRIVER,jktw,,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,RAJU,;kj] lkSDl ysuk Hkwy x;k gw¡!,disappointed,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,FARHAN,rw lkSDl dh ckr dj jgk gS] vcs uhps ns[k,amused,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,FARHAN,iSUV Hkh Hkwy x;k gSA,,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,FARHAN,legs.,,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,FARHAN,jktw,,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,RAJU,vks; rsjh!,,EXT. RAJU’S NEW HOUSE
29,DIALOGUE,LATER,to a halt in front of a building. Raju,,EXT. IMPERIAL COLLEGE OF
29,DIALOGUE,LATER,"runs out, brushing his teeth. Farhan",,EXT. IMPERIAL COLLEGE OF
29,DIALOGUE,LATER,"follows, calling out instructions to the",,EXT. IMPERIAL COLLEGE OF
29,DIALOGUE,LATER,driver.,,EXT. IMPERIAL COLLEGE OF
30,DIALOGUE,FARHAN,gks dj tkukA es js HkkbZ lkgc vk jgs gS a A mudks,,EXT. IMPERIAL COLLEGE OF
30,DIALOGUE,FARHAN,gks Vy igw pk ns ukA ls e ljus e ;kj f<Yyks a A,,EXT. IMPERIAL COLLEGE OF
30,DIALOGUE,HARBHAJAN SINGH DHILLON,eSa f<YyksaA xM~Mh Hksth rks xbZ fdFFkss\,angrily,EXT. AIRPORT DAY
30,DIALOGUE,HARBHAJAN SINGH DHILLON,the runway?,,EXT. AIRPORT DAY
30,DIALOGUE,HARBHAJAN SINGH DHILLON,juos iS\,,EXT. AIRPORT DAY
30,DIALOGUE,FARHAN,vks;s jSUpksA,,"EXT. WATER TANK, ICE DAY"
30,DIALOGUE,FARHAN,jktw,,"EXT. WATER TANK, ICE DAY"
30,DIALOGUE,RAJU,gs prqj] jSUpks dgk¡ gS\,,"EXT. WATER TANK, ICE DAY"
30,DIALOGUE,RAJU,jSUpks!,looking around,"EXT. WATER TANK, ICE DAY"
30,DIALOGUE,RAJU,to Chatur.,,"EXT. WATER TANK, ICE DAY"
30,DIALOGUE,FARHAN,jSUpks dgk¡ gS\,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,FARHAN,phone. The electronic English to Hindi,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,FARHAN,dictionary shows the translation 'LIQUOR,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,prqj,calmly,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,efnjk fi;ksxs\,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,you guzzled those days. (takes out a bottle from his jacket pocket),,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,;s ogh je gS u tks rq e yks x ;gk¡ ihrs Fks,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,catches it.,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,jktw,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,RAJU,vjs jSUpks dgk¡ gS ;kj\,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,RAJU,prqj,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,crkrk gw¡A igys ;s ns[kksA,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,wife in front of a mansion.,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,prqj,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,esjk okbQ dks ugha] mlds ihNs dk cxayk,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,ns[kks] bfM;V~l fefy;uA,,"EXT. WATER TANK, ICE DAY"
31,DIALOGUE,CHATUR,"behind, idiots, million.",,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,CHATUR,"it, he keeps up a running commentary.",,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,CHATUR,maple wood fl ooring.,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,CHATUR,fast!,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,FARHAN,vcs ges D;ksa fn[kk jgk gS ;s lc\,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,FARHAN,prqj,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,CHATUR,again. A date appears on screen: 5th,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,CHATUR,prqj,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,CHATUR,;g D;k gS\,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,CHATUR,jktw,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,RAJU,‘5th September’. Today’s date. What (looks at the phone),,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,RAJU,ik¡ p flRecjA vkt dh Ms VA vkS j D;k ;kj\,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,RAJU,else?,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,RAJU,up to the dome-like structure in the centre,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,RAJU,of the terrace. He wipes the fungus off,,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,RAJU,"a portion of the wall, to reveal a date",,"EXT. WATER TANK, ICE DAY"
32,DIALOGUE,RAJU,chiselled into it SEPT Farhan and,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FLASH:,stands next to the same wall and yells.,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FLASH:,prqj,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,py yxk cSVA nl lky ds ckn okil,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,"vk,axsA ;gha isA vkt gh ds fnuA ns[ksaxs]",,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,years. Same day. Same place. We’ll see who’s,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,dkSu T;knk lDlsLQy gSA gS fgEer\ cksy\,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,"more successful. Have the balls? C’mon,",,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,"vk,xk\ vk,xk\",,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,bet!,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,END OF FLASH,prqj,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,dqN ;kn vk;k\ ;gha is ml bfM;V~ ls 'krZ,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,"yxkbZ FkhA vkbZ dsIV ekbZ izksfelA vkbZ ,e",,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,here. I kept my promise. I’m back.,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,cSdA,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,the bottle he is holding at Chatur. It,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,shatters at Chatur’s feet. He moves,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,threateningly towards Chatur but Raju,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,holds him back.,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,lkys] eSa gokbZ tgkt+ NksM+ ds vk;k gw¡A ;s,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,viuh iSUV NksM+ ds vk;k gSA flQZ jSUpks ls,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,pants all to meet Rancho. Five years,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,"feyus ds fy,A ik¡p lky ls ge mldks <¡w<",,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,we’ve searched. Don’t even know if he’s,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,jgs gSaA ftUnk gSa fd ej x;k] ugha irkA vkSj,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,alive. And you think he’ll show up for,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,rq>s D;k yxrk gS] rsjh ;g Qwn~nw lh 'krZ ds,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,your silly bet.,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,"fy, ;gk¡ vk,xk\",,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,FARHAN,prqj,,"EXT. WATER TANK, ICE DAY"
33,DIALOGUE,CHATUR,"ugha vk,xkA eq>s ekywe gS oks ugha vk,xkA",,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,FARHAN,;kj rw blds nkar rksM+rk gS ;k eS rksMa+w\,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,FARHAN,jktw,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,RAJU,",d feuV Qjgku] ,d feuVA vcs lkys rks",restraining Farhan,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,RAJU,rwus ges D;ksa cqy;k\,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,RAJU,prqj,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,CHATUR,jSUpks ls feykusA py ds ns[kks oks dgk¡ jgs,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,CHATUR,x;s vksj eS dgk¡ igqap x;sA,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,CHATUR,and where he,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,CHATUR,jktw,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,RAJU,eryc rq>s ekywe gS jSUpks dgk¡ gS\,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,RAJU,prqj,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,CHATUR,;slA,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,FARHAN,dgk¡ gS jSUpks\,,"EXT. WATER TANK, ICE DAY"
34,DIALOGUE,CHATUR,and happiness.,,"EXT. WATER TANK, ICE DAY"
36,DIALOGUE,FARHAN,jSUpksA j.kNksM+nkl L;keynkl N¡kNM+A ftruk,,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,vyx lkys dk uke Fkk mruh gh vyx lkspA,,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,geus rks cpiu ls ;gh lquk Fkk fd ykbQ,,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,",d jsl gS] rst+ ugha Hkkxksxs rks yksx rqEgs",,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,"dqpy dj vkxs fudy tk,axsA",,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,goes black.,,INT. SUV CONTINUOUS
36,DIALOGUE,MONTAGE,sperm races ahead and hits the ova.,,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,"lkyk iSnk gksus ds fy, Hkh rhu lkS fefy;u",,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,million sperms.,,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,"delivering the baby, the gloved hand of a",,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,doctor brings out a baby.,,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,vkSj ikap ctdj lksyg feuV ij vCck us,,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN,dgk,,INT. SUV CONTINUOUS
36,DIALOGUE,FARHAN’S FATHER,esjk csVk baftfu;j cusxkA,,INT. SUV CONTINUOUS
37,DIALOGUE,FARHAN’S AUNTY,"card, with Farhan’s photograph on it, is",,INT. SUV CONTINUOUS
37,DIALOGUE,FARHAN’S AUNTY,stamped.,,INT. SUV CONTINUOUS
37,DIALOGUE,ENGINEERING DAY,"in another, a rucksack on his back and a",,EXT. IMPERIAL COLLEGE OF
37,DIALOGUE,ENGINEERING DAY,pillow tucked under his arm.,,EXT. IMPERIAL COLLEGE OF
37,DIALOGUE,CONTINUOUS,board. He moves his fi nger up the room,,"EXT. CORRIDOR, ICE"
37,DIALOGUE,CONTINUOUS,list and stops on his name. Next to his,,"EXT. CORRIDOR, ICE"
37,DIALOGUE,CONTINUOUS,name are the names of his room-mates.,,"EXT. CORRIDOR, ICE"
37,DIALOGUE,FARHAN,jktw jLrksxh] j.kNksM+nkl Nk¡NM+A,,"EXT. CORRIDOR, ICE"
37,DIALOGUE,"MANMOHAN, AKA MILLIMETER,","a street-smart year old, comes up",,"EXT. CORRIDOR, ICE"
37,DIALOGUE,"MANMOHAN, AKA MILLIMETER,",behind him.,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,"MANMOHAN, AKA MILLIMETER,",feyhehVj,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,:e uEcj cksyksA,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,D-26.,to walk away.,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,D-26.,feyhehVj,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,pyksA,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,of the college as they walk.,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,feyhehVj,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,"eSa eu eksguA ,e ,eA ;s lc baftfu;lZ",,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,eq>s feyhehVj cqykrs gSaA nw/k] vaMk&czSM] diM+s,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,"call me Millimeter. For eggs, bread,",,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,/kksuk] bL=kh djuk] tjuy Hkjuk] vlkbUeUV,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,"milk, laundry, fi nishing journals, copying",,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,dkWih djuk] dksbZ Hkh dke gS] cksyksA fQDLM,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,"assignments, I’m your guy. Fixed rates.",,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,jsV gSA uks ckjxsuA,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,excited.,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,FARHAN,"vjs ,d feuV] ,d feuV ,d feuV",,"EXT. CORRIDOR, ICE"
38,DIALOGUE,FARHAN,bldks idM+A,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,FARHAN,and clicks their photographs from different,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,FARHAN,angles.,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,FARHAN,feyhehVj,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,;s fdyksckbV gSA ;s esxkckbV vkSj ;s budh,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,ek¡] xhxkckbVA ys yks] QksVks ys yksA ;s QSEyh,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,ckbV ugha djrhA,,"EXT. CORRIDOR, ICE"
38,DIALOGUE,MILLIMETER,doesn’t bite.,,"EXT. CORRIDOR, ICE"
39,DIALOGUE,MILLIMETER,cover the screen.,,"EXT. CORRIDOR, ICE"
39,DIALOGUE,CONTINUOUS,"enter the room. Glancing at them briefl y,",,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,CONTINUOUS,of a wall covered with pictures of different,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,CONTINUOUS,gods and goddesses.,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,CONTINUOUS,feyhehVj,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,MILLIMETER,"yks vk x;k ,d vkSj HkDrA",,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,MILLIMETER,soul.,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,MILLIMETER,then extends his hand to Raju.,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,FARHAN,"gk,A Qjgku dqjS'khA",,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,FARHAN,jktw,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,RAJU,eS jktw jLrksxhA,ignoring the proffered hand,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,RAJU,corner. He looks at Farhan. Raju starts to,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,RAJU,move around the room with a ‘puja thali’,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,RAJU,with burning incense on it. With the turn,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,RAJU,"of his hand, he shoves the fumes from the",,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,RAJU,incense in every corner of the room.,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,RAJU,feyhehVj,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,MILLIMETER,?kcjkvks erA FkksM+s fnu b/kj jgssxk uk rks vius,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,MILLIMETER,"vki Hkxoku ls fo'okl mB tk,xk fQj",,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,MILLIMETER,faith in God. Then naked babes will be on,,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,MILLIMETER,"cktw eS uaxh yM+dh dh rLohj yxk,xk vkSj",,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,MILLIMETER,"the wall, and he’ll say “Oh God, give me",,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,MILLIMETER,"dgsxk vks Hkxoku] ,d ckj fnyk nsA",,"INT. ROOM, HOSTEL, ICE"
39,DIALOGUE,MILLIMETER,one chance with her”.,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,MILLIMETER,jktw,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,RAJU,;s] py fudy ;gk¡ lsA fudyA,irritated at Millimeter’s irreverence,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,RAJU,feyhehVj,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,MILLIMETER,pkj #i;s nksA nks #i;k ij cSxA,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,FARHAN,;s ysA ik¡p #i;sA psat j[k ysA,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,FARHAN,feyhehVj,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,MILLIMETER,"vkiwu Hkh rqedks ,d fVi nsxkA vkt jkr",,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,MILLIMETER,in return wear your best underwear,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,MILLIMETER,dks vaMfoZ;j fcuk gksy okys igukA,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,MILLIMETER,tonight.,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,MILLIMETER,wonders.,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,MILLIMETER,jktw,,"INT. ROOM, HOSTEL, ICE"
40,DIALOGUE,NIGHT,"freshmen, standing in a row, take off their",,"EXT. CORRIDOR, HOSTEL, ICE"
40,DIALOGUE,NIGHT,pants to reveal their underwear. They bend,,"EXT. CORRIDOR, HOSTEL, ICE"
40,DIALOGUE,NIGHT,down and shout in unison.,,"EXT. CORRIDOR, HOSTEL, ICE"
40,DIALOGUE,NIGHT,lc fo|kFkhZ,,"EXT. CORRIDOR, HOSTEL, ICE"
40,DIALOGUE,ALL STUDENTS,tgk¡iukg] rqLlh xzsV gksA,,"EXT. CORRIDOR, HOSTEL, ICE"
40,DIALOGUE,ALL STUDENTS,"and offer up their backsides, patting",,"EXT. CORRIDOR, HOSTEL, ICE"
40,DIALOGUE,ALL STUDENTS,them.,,"EXT. CORRIDOR, HOSTEL, ICE"
40,DIALOGUE,ALL STUDENTS,lc fo|kFkhZ,,"EXT. CORRIDOR, HOSTEL, ICE"
